//Speicher der "Cloud" wurde mittels ChatGPT generiert


    "Titel", "Künstler", "Album", "Erscheinungsjahr", "Genre"
    "Bohemian Rhapsody", "Queen", "A Night at the Opera", 1975, "Rock"
    "Imagine", "John Lennon", "Imagine", 1971, "Rock"
    "Hotel California", "Eagles", "Hotel California", 1976, "Rock"
    "Billie Jean", "Michael Jackson", "Thriller", 1982, "Pop"
    "Stairway to Heaven", "Led Zeppelin", "Led Zeppelin IV", 1971, "Rock"
    "Like a Rolling Stone", "Bob Dylan", "Highway 61 Revisited", 1965, "Folk Rock"
    "Smells Like Teen Spirit", "Nirvana", "Nevermind", 1991, "Grunge"
    "What's Going On", "Marvin Gaye", "What's Going On", 1971, "Soul"
    "Sweet Child O' Mine", "Guns N' Roses", "Appetite for Destruction", 1987, "Rock"
    "Rolling in the Deep", "Adele", "21", 2010, "Pop"
    "Lose Yourself", "Eminem", "8 Mile", 2002, "Hip Hop"
    "Hey Jude", "The Beatles", "Hey Jude", 1968, "Rock"
    "Born to Run", "Bruce Springsteen", "Born to Run", 1975, "Rock"
    "Purple Haze", "Jimi Hendrix", "Are You Experienced", 1967, "Rock"
    "Thriller", "Michael Jackson", "Thriller", 1982, "Pop"
    "Good Vibrations", "The Beach Boys", "Smiley Smile", 1967, "Rock"
    "Yesterday", "The Beatles", "Help!", 1965, "Rock"
    "Respect", "Aretha Franklin", "I Never Loved a Man the Way I Love You", 1967, "Soul"
    "Superstition", "Stevie Wonder", "Talking Book", 1972, "Funk"
    "Bridge Over Troubled Water", "Simon & Garfunkel", "Bridge Over Troubled Water", 1970, "Folk"
    "Let It Be", "The Beatles", "Let It Be", 1970, "Rock"
    "Layla", "Derek and the Dominos", "Layla and Other Assorted Love Songs", 1970, "Rock"
    "What's Love Got to Do with It", "Tina Turner", "Private Dancer", 1984, "Pop"
    "One", "U2", "Achtung Baby", 1991, "Rock"
    "Purple Rain", "Prince", "Purple Rain", 1984, "Pop"
    "Every Breath You Take", "The Police", "Synchronicity", 1983, "Rock"
    "In the End", "Linkin Park", "Hybrid Theory", 2000, "Nu Metal"
    "Rolling in the Deep", "Adele", "21", 2010, "Pop"
    "Uptown Funk", "Mark Ronson ft. Bruno Mars", "Uptown Special", 2014, "Funk"
    "Shape of You", "Ed Sheeran", "÷", 2017, "Pop"
    "Blinding Lights", "The Weeknd", "After Hours", 2019, "Synthwave"
    "Bad Guy", "Billie Eilish", "When We All Fall Asleep, Where Do We Go?", 2019, "Pop"
    "Old Town Road", "Lil Nas X", "7 EP", 2019, "Country Rap"
    "Sugar", "Maroon 5", "V", 2014, "Pop"
    "Someone Like You", "Adele", "21", 2011, "Pop"
    "Despacito", "Luis Fonsi ft. Daddy Yankee", "Vida", 2017, "Reggaeton"
    "Royals", "Lorde", "Pure Heroine", 2013, "Electropop"
    "Call Me Maybe", "Carly Rae Jepsen", "Kiss", 2012, "Pop"
    "Halo", "Beyoncé", "I Am... Sasha Fierce", 2008, "Pop"
    "Poker Face", "Lady Gaga", "The Fame", 2008, "Pop"
    "Somebody That I Used to Know", "Gotye", "Making Mirrors", 2011, "Indie Rock"
    "Happy", "Pharrell Williams", "G I R L", 2013, "Pop"
    "Thinking Out Loud", "Ed Sheeran", "x", 2014, "Pop"
    "All of Me", "John Legend", "Love in the Future", 2013, "R&B"
    "Just the Way You Are", "Bruno Mars", "Doo-Wops & Hooligans", 2010, "Pop"
    "Firework", "Katy Perry", "Teenage Dream", 2010, "Pop"
    "Stay", "Rihanna ft. Mikky Ekko", "Unapologetic", 2012, "Pop"
    "Somebody That I Used to Know", "Gotye", "Making Mirrors", 2011, "Indie Rock"
    "Happy", "Pharrell Williams", "G I R L", 2013, "Pop"
    "Thinking Out Loud", "Ed Sheeran", "x", 2014, "Pop"
    "All of Me", "John Legend", "Love in the Future", 2013, "R&B"
    "Just the Way You Are", "Bruno Mars", "Doo-Wops & Hooligans", 2010, "Pop"
    "Firework", "Katy Perry", "Teenage Dream", 2010, "Pop"
    "Stay", "Rihanna ft. Mikky Ekko", "Unapologetic", 2012, "Pop"
    "Royals", "Lorde", "Pure Heroine", 2013, "Electropop"
    "Uptown Funk", "Mark Ronson ft. Bruno Mars", "Uptown Special", 2014, "Funk"
    "Shape of You", "Ed Sheeran", "÷", 2017, "Pop"
    "Blinding Lights", "The Weeknd", "After Hours", 2019, "Synthwave"
    "Bad Guy", "Billie Eilish", "When We All Fall Asleep, Where Do We Go?", 2019, "Pop"
    "Old Town Road", "Lil Nas X", "7 EP", 2019, "Country Rap"
    "Sorry", "Justin Bieber", "Purpose", 2015, "Pop"
    "Closer", "The Chainsmokers ft. Halsey", "Collage", 2016, "EDM"
    "Cheap Thrills", "Sia", "This Is Acting", 2016, "Pop"
    "Roar", "Katy Perry", "Prism", 2013, "Pop"
    "Can't Stop the Feeling!", "Justin Timberlake", "Trolls", 2016, "Pop"
    "Believer", "Imagine Dragons", "Evolve", 2017, "Rock"
    "Sunflower", "Post Malone & Swae Lee", "Spider-Man: Into the Spider-Verse", 2018, "Hip Hop"
    "Havana", "Camila Cabello ft. Young Thug", "Camila", 2017, "Pop"
    "Shallow", "Lady Gaga & Bradley Cooper", "A Star Is Born", 2018, "Soundtrack"
    "Memories", "Maroon 5", "Jordi", 2019, "Pop"
    "Someone Like You", "Adele", "21", 2011, "Pop"
    "Despacito", "Luis Fonsi ft. Daddy Yankee", "Vida", 2017, "Reggaeton"
    "Royals", "Lorde", "Pure Heroine", 2013, "Electropop"
    "Call Me Maybe", "Carly Rae Jepsen", "Kiss", 2012, "Pop"
    "Bohemian Rhapsody", "Queen", "A Night at the Opera", 1975, "Rock"
    "Imagine", "John Lennon", "Imagine", 1971, "Rock"
    "Hotel California", "Eagles", "Hotel California", 1976, "Rock"
    "Billie Jean", "Michael Jackson", "Thriller", 1982, "Pop"
    "Stairway to Heaven", "Led Zeppelin", "Led Zeppelin IV", 1971, "Rock"
    "Like a Rolling Stone", "Bob Dylan", "Highway 61 Revisited", 1965, "Folk Rock"
    "Smells Like Teen Spirit", "Nirvana", "Nevermind", 1991, "Grunge"
    "What's Going On", "Marvin Gaye", "What's Going On", 1971, "Soul"
    "Sweet Child O' Mine", "Guns N' Roses", "Appetite for Destruction", 1987, "Rock"
    "Rolling in the Deep", "Adele", "21", 2010, "Pop"
